Ref,Val,Package,PosX,PosY,Rot,Side
"IC5","CGGBPD.25.A","CGGBPD25A",-126.020000,-58.750000,180.000000,bottom
"IC8","CGGBPD.25.A","CGGBPD25A",-159.020000,-58.750000,180.000000,bottom
"IC11","CGGBPD.25.A","CGGBPD25A",-126.020000,-91.750000,180.000000,bottom
"IC14","CGGBPD.25.A","CGGBPD25A",-159.020000,-91.750000,180.000000,bottom
