Comment,Designator,Footprint,LCSC
1p,"C24,C26,C34,C39",Capacitor_SMD:C_0402_1005Metric,C1550
100p,"C25,C28,C30,C32,C35,C37,C40,C42",Capacitor_SMD:C_0402_1005Metric,C1546
120p,"C27,C31,C36,C41",Capacitor_SMD:C_0402_1005Metric,C307442
470p,"C29,C33,C38,C43",Capacitor_SMD:C_0402_1005Metric,C1537
SAFEA1G58KA0F00R15,"FL1,FL2,FL3,FL4",SamacSys_Parts:SAFEA1G58KA0F00R15,C91641
