Ref,Val,Package,PosX,PosY,Rot,Side
"IC2","CGGBPD.25.A","CGGBPD25A",-76.000000,-58.500000,180.000000,bottom
"IC5","CGGBPD.25.A","CGGBPD25A",-110.000000,-58.500000,180.000000,bottom
"IC11","CGGBPD.25.A","CGGBPD25A",-76.000000,-92.500000,180.000000,bottom
"IC14","CGGBPD.25.A","CGGBPD25A",-110.000000,-92.500000,180.000000,bottom
